essay	hours	grade
61.6754974920745	10.6303372921189	Upper Second Class
69.5450056362295	7.28522617959232	First Class
48.2293039713449	5.05204775449098	Third Class
70.6786516311817	2.88661436120476	First Class
59.8996225857332	9.54501229482367	Lower Second Class
61.1620237718455	11.3108384701452	Upper Second Class
67.6247016928604	7.46507180351913	Upper Second Class
64.7790589873963	8.47127906794298	Upper Second Class
63.207063456166	8.71537345316006	Upper Second Class
49.6910817003072	6.20347356947365	Third Class
63.7189196026189	4.77251550782322	Upper Second Class
72.2425933666743	10.9815424018851	First Class
70.5862210579123	5.2215409766568	First Class
58.6398615751171	6.85848450383968	Lower Second Class
58.7153800614887	9.7984118965962	Lower Second Class
67.3999698058767	9.49072930246925	Upper Second Class
60.7037631406063	6.51736420324962	Upper Second Class
60.931351175695	11.8021326615165	Upper Second Class
62.3401801239333	8.96313112993931	Upper Second Class
59.9662288209405	5.42249029575092	Lower Second Class
52.1619843495503	6.40972025602273	Lower Second Class
76.5879640890472	15.0104773734972	First Class
60.9196973933278	8.07064211676739	Upper Second Class
66.6330159660378	10.9720986214915	Upper Second Class
73.6195367228337	14.7776461317624	First Class
60.2224731091917	5.2455561967939	Upper Second Class
59.257246898708	8.67216132385057	Lower Second Class
51.9302907572568	8.55546259639567	Lower Second Class
59.4301075638833	6.08144370899007	Lower Second Class
69.4087175381595	7.42190548469444	First Class
65.2986136310666	12.3137937416164	Upper Second Class
60.2838297249765	9.93443882388444	Upper Second Class
60.8535237978012	7.79529820172183	Upper Second Class
71.6333469504558	6.5627956116459	First Class
69.1407939072155	10.2828636303044	First Class
66.4753904156445	5.11639249646656	Upper Second Class
63.0477561140632	8.66268357519631	Upper Second Class
68.1678280737943	6.59320568183171	Upper Second Class
64.7480342462125	3.70537792316693	Upper Second Class
68.2804343717536	12.9178683539958	Upper Second Class
60.4052387002632	8.6962361085862	Upper Second Class
64.6313248038771	11.2150596156186	Upper Second Class
58.2594898681359	6.83244891007452	Lower Second Class
52.2352473953415	8.62308388223269	Lower Second Class
79.8777504975499	7.84368345377415	First Class
