usage	tumour
0	.0182043738167315
0	.000744246558134194
0	.00551096331875631
0	.00720883159343062
0	.0371189942818793
0	.0353411482274293
0	.00634567779728782
0	.0326777542208993
0	.00373171140493424
0	.00633920883304708
0	.00680775675643641
0	.0232067479910186
0	.0285450837580053
0	.0174408913586762
0	.00894912208854864
0	.035704078768932
0	.0304823465525242
0	.0202612225458108
0	.0147005536089792
0	.0116784236708997
1	.765020489489744
1	.742348071462944
1	.221382358494046
1	.940278392556749
1	.620072719849125
1	.333902919657739
1	.472340647398487
1	.784478956898681
1	.759189960717873
1	.0314414747231817
1	.927462724427074
1	.389134033260095
1	.615608461505363
1	.479744347809176
1	.14887789493699
1	.717563064435599
1	.381150847034509
1	.274080537462773
1	.00287481995534683
1	.690768847335041
2	1.29288475319253
2	1.08491805647504
2	1.06731903113194
2	.477526924293854
2	1.26193370796158
2	.518903943568915
2	.639161966555091
2	1.68706497139649
2	1.85463369215979
2	1.2182079459738
2	1.69104692310644
2	2.34207159355312
2	1.53829114449368
2	1.86986065258176
2	.833181586608044
2	.981809673123103
2	.983510533495795
2	1.38694039261398
2	1.63018533370533
2	.867798392738456
3	4.30640641008568
3	2.47382498466035
3	2.03903218494212
3	3.32442371666704
3	3.17902987712345
3	2.24443877414961
3	3.79546506937852
3	2.86420335869983
3	2.58029296895028
3	4.08893840263206
3	3.51309356839188
3	3.01606832612168
3	3.632578593286
3	4.14201610611998
3	2.8225620773873
3	1.77423552451981
3	2.56377516057175
3	3.59288799601444
3	2.63644503156248
3	1.84216302780868
4	4.64690722080648
4	5.16278947792582
4	4.05773103819722
4	4.61359487241154
4	5.3204748337847
4	4.83514007121804
4	5.20319243253007
4	5.39924957923121
4	3.03839068374873
4	4.72797332529665
4	5.17798662564414
4	5.09163822843216
4	5.65315082268179
4	3.828412069857
4	4.87834194634171
4	5.21433083575693
4	5.3042750803059
4	6.0488795726649
4	4.13285843055048
4	5.42059063158181
5	5.16948169695986
5	5.0297671995414
5	6.1398957228179
5	4.89592634914867
5	4.64836462812001
5	3.87593117167941
5	5.25099433981734
5	2.70274228647155
5	5.30632040122677
5	5.36490427177769
5	5.42590718468969
5	4.42601749884818
5	4.8349142979072
5	4.12540873865457
5	4.0451314842408
5	3.67134653113379
5	4.42593940547603
5	4.61861698248706
5	5.10812907307305
5	5.54613961761953
